Year,Geography,Observation
1990,england,6.1
1991,england,6.5
1992,england,6.7
1993,england,7.0
1994,england,7.0
1995,england,7.0
1996,england,7.2
1997,england,7.3
1998,england,7.6
1999,england,7.7
2000,england,7.9
2001,england,8.0
2002,england,8.1
2003,england,8.2
2004,england,8.2
2005,england,8.2
2006,england,8.3
2007,england,8.3
2008,england,8.4
2009,england,8.4
2010,england,8.5
2011,england,8.5
2012,england,8.2
2013,england,8.3
2014,england,8.4
2015,england,8.3
2016,england,8.4
2017,england,8.4
2018,england,8.3
2019,england,8.2
2020,england,8.2
2021,england,8.1
2022,england,8.0
2023,england,7.9
2024,england,7.8
2025,england,7.6
2026,england,7.5
2027,england,7.3
2028,england,7.2
2029,england,7.0
2030,england,6.8
2031,england,6.6
2032,england,6.4
2033,england,6.2
2034,england,6.0
2035,england,5.9
2036,england,5.7
2037,england,5.5
2038,england,5.3
2039,england,5.1
2040,england,5.0
2041,england,4.8
2042,england,4.6
2043,england,4.5
2044,england,4.3
2045,england,4.2
2046,england,4.1
2047,england,4.0
2048,england,4.0
2049,england,3.9
2050,england,3.8
1990,wales,1.5
1991,wales,1.5
1992,wales,1.5
1993,wales,1.5
1994,wales,1.6
1995,wales,1.6
1996,wales,1.6
1997,wales,1.5
1998,wales,1.6
1999,wales,1.5
2000,wales,1.6
2001,wales,1.6
2002,wales,1.5
2003,wales,1.5
2004,wales,1.6
2005,wales,1.6
2006,wales,1.7
2007,wales,1.6
2008,wales,1.7
2009,wales,1.6
2010,wales,1.6
2011,wales,1.5
2012,wales,1.2
2013,wales,1.3
2014,wales,1.2
2015,wales,1.2
2016,wales,1.2
2017,wales,1.2
2018,wales,1.2
2019,wales,1.2
2020,wales,1.2
2021,wales,1.2
2022,wales,1.2
2023,wales,1.2
2024,wales,1.2
2025,wales,1.3
2026,wales,1.3
2027,wales,1.3
2028,wales,1.3
2029,wales,1.3
2030,wales,1.3
2031,wales,1.4
2032,wales,1.4
2033,wales,1.4
2034,wales,1.5
2035,wales,1.5
2036,wales,1.5
2037,wales,1.5
2038,wales,1.6
2039,wales,1.6
2040,wales,1.6
2041,wales,1.6
2042,wales,1.6
2043,wales,1.6
2044,wales,1.7
2045,wales,1.7
2046,wales,1.7
2047,wales,1.6
2048,wales,1.6
2049,wales,1.6
2050,wales,1.6
1990,scotland,6.8
1991,scotland,7.1
1992,scotland,7.4
1993,scotland,7.4
1994,scotland,7.3
1995,scotland,7.4
1996,scotland,7.6
1997,scotland,7.7
1998,scotland,7.9
1999,scotland,8.1
2000,scotland,8.1
2001,scotland,8.4
2002,scotland,8.6
2003,scotland,8.5
2004,scotland,8.5
2005,scotland,8.5
2006,scotland,8.6
2007,scotland,8.5
2008,scotland,8.9
2009,scotland,9.0
2010,scotland,8.7
2011,scotland,8.4
2012,scotland,7.0
2013,scotland,7.8
2014,scotland,8.0
2015,scotland,8.0
2016,scotland,8.1
2017,scotland,8.0
2018,scotland,7.9
2019,scotland,7.7
2020,scotland,7.6
2021,scotland,7.4
2022,scotland,7.2
2023,scotland,6.9
2024,scotland,6.5
2025,scotland,6.2
2026,scotland,5.8
2027,scotland,5.4
2028,scotland,4.9
2029,scotland,4.5
2030,scotland,4.1
2031,scotland,3.8
2032,scotland,3.5
2033,scotland,3.3
2034,scotland,3.1
2035,scotland,2.9
2036,scotland,2.8
2037,scotland,2.7
2038,scotland,2.6
2039,scotland,2.6
2040,scotland,2.6
2041,scotland,2.6
2042,scotland,2.8
2043,scotland,2.9
2044,scotland,3.1
2045,scotland,3.3
2046,scotland,3.6
2047,scotland,3.9
2048,scotland,4.2
2049,scotland,4.4
2050,scotland,4.6
1990,northern-ireland,0.6
1991,northern-ireland,0.6
1992,northern-ireland,0.6
1993,northern-ireland,0.6
1994,northern-ireland,0.6
1995,northern-ireland,0.6
1996,northern-ireland,0.6
1997,northern-ireland,0.6
1998,northern-ireland,0.6
1999,northern-ireland,0.6
2000,northern-ireland,0.6
2001,northern-ireland,0.6
2002,northern-ireland,0.6
2003,northern-ireland,0.6
2004,northern-ireland,0.6
2005,northern-ireland,0.6
2006,northern-ireland,0.6
2007,northern-ireland,0.6
2008,northern-ireland,0.6
2009,northern-ireland,0.6
2010,northern-ireland,0.6
2011,northern-ireland,0.6
2012,northern-ireland,0.5
2013,northern-ireland,0.6
2014,northern-ireland,0.6
2015,northern-ireland,0.6
2016,northern-ireland,0.6
2017,northern-ireland,0.6
2018,northern-ireland,0.6
2019,northern-ireland,0.6
2020,northern-ireland,0.6
2021,northern-ireland,0.6
2022,northern-ireland,0.5
2023,northern-ireland,0.5
2024,northern-ireland,0.5
2025,northern-ireland,0.5
2026,northern-ireland,0.5
2027,northern-ireland,0.5
2028,northern-ireland,0.5
2029,northern-ireland,0.5
2030,northern-ireland,0.5
2031,northern-ireland,0.5
2032,northern-ireland,0.5
2033,northern-ireland,0.5
2034,northern-ireland,0.5
2035,northern-ireland,0.5
2036,northern-ireland,0.5
2037,northern-ireland,0.5
2038,northern-ireland,0.5
2039,northern-ireland,0.5
2040,northern-ireland,0.6
2041,northern-ireland,0.6
2042,northern-ireland,0.6
2043,northern-ireland,0.6
2044,northern-ireland,0.6
2045,northern-ireland,0.6
2046,northern-ireland,0.6
2047,northern-ireland,0.5
2048,northern-ireland,0.5
2049,northern-ireland,0.5
2050,northern-ireland,0.5
1990,united-kingdom,15.0
1991,united-kingdom,15.6
1992,united-kingdom,16.2
1993,united-kingdom,16.5
1994,united-kingdom,16.5
1995,united-kingdom,16.5
1996,united-kingdom,17.0
1997,united-kingdom,17.2
1998,united-kingdom,17.7
1999,united-kingdom,17.9
2000,united-kingdom,18.2
2001,united-kingdom,18.5
2002,united-kingdom,18.8
2003,united-kingdom,18.9
2004,united-kingdom,18.8
2005,united-kingdom,19.0
2006,united-kingdom,19.2
2007,united-kingdom,19.1
2008,united-kingdom,19.6
2009,united-kingdom,19.7
2010,united-kingdom,19.5
2011,united-kingdom,19.1
2012,united-kingdom,16.8
2013,united-kingdom,18.0
2014,united-kingdom,18.2
2015,united-kingdom,18.2
2016,united-kingdom,18.3
2017,united-kingdom,18.2
2018,united-kingdom,18.0
2019,united-kingdom,17.7
2020,united-kingdom,17.5
2021,united-kingdom,17.3
2022,united-kingdom,16.9
2023,united-kingdom,16.6
2024,united-kingdom,16.1
2025,united-kingdom,15.6
2026,united-kingdom,15.1
2027,united-kingdom,14.5
2028,united-kingdom,13.9
2029,united-kingdom,13.3
2030,united-kingdom,12.8
2031,united-kingdom,12.3
2032,united-kingdom,11.9
2033,united-kingdom,11.5
2034,united-kingdom,11.1
2035,united-kingdom,10.8
2036,united-kingdom,10.5
2037,united-kingdom,10.2
2038,united-kingdom,10.0
2039,united-kingdom,9.8
2040,united-kingdom,9.8
2041,united-kingdom,9.6
2042,united-kingdom,9.6
2043,united-kingdom,9.6
2044,united-kingdom,9.6
2045,united-kingdom,9.8
2046,united-kingdom,9.9
2047,united-kingdom,10.1
2048,united-kingdom,10.3
2049,united-kingdom,10.5
2050,united-kingdom,10.6
