Year,Local authority code,Measure,Unit,Observation
2020,e06000001,standard-area,hectares,9371.25
2020,e06000002,standard-area,hectares,5388.16
2020,e06000003,standard-area,hectares,24506.98
2020,e06000004,standard-area,hectares,20493.31
2020,e06000005,standard-area,hectares,19747.58
2020,e06000006,standard-area,hectares,7908.39
2020,e06000007,standard-area,hectares,18062.79
2020,e06000008,standard-area,hectares,13702.21
2020,e06000009,standard-area,hectares,3487.09
2020,e06000010,standard-area,hectares,7158.37
2020,e06000011,standard-area,hectares,240360.43
2020,e06000012,standard-area,hectares,19262.29
2020,e06000013,standard-area,hectares,84652.66
2020,e06000014,standard-area,hectares,27193.7
2020,e06000015,standard-area,hectares,7803.11
2020,e06000016,standard-area,hectares,7334.21
2020,e06000017,standard-area,hectares,38183.13
2020,e06000018,standard-area,hectares,7461.32
2020,e06000019,standard-area,hectares,217970.94
2020,e06000020,standard-area,hectares,29031.37
2020,e06000021,standard-area,hectares,9344.85
2020,e06000022,standard-area,hectares,34587.86
2020,e06000023,standard-area,hectares,10966.65
2020,e06000024,standard-area,hectares,37374.94
2020,e06000025,standard-area,hectares,49705.08
2020,e06000026,standard-area,hectares,7984.97
2020,e06000027,standard-area,hectares,6288.67
2020,e06000030,standard-area,hectares,23009.33
2020,e06000031,standard-area,hectares,34337.82
2020,e06000032,standard-area,hectares,4335.25
2020,e06000033,standard-area,hectares,4167.42
2020,e06000034,standard-area,hectares,16383.71
2020,e06000035,standard-area,hectares,19371.42
2020,e06000036,standard-area,hectares,10938.43
2020,e06000037,standard-area,hectares,70416.94
2020,e06000038,standard-area,hectares,4039.79
2020,e06000039,standard-area,hectares,3254.19
2020,e06000040,standard-area,hectares,19650.17
2020,e06000041,standard-area,hectares,17896.55
2020,e06000042,standard-area,hectares,30862.67
2020,e06000043,standard-area,hectares,8283.31
2020,e06000044,standard-area,hectares,4039.44
2020,e06000045,standard-area,hectares,4988.08
2020,e06000046,standard-area,hectares,37962.0
2020,e06000047,standard-area,hectares,222588.59
2020,e06000049,standard-area,hectares,116635.77
2020,e06000050,standard-area,hectares,92001.77
2020,e06000051,standard-area,hectares,319727.58
2020,e06000052,standard-area,hectares,354542.8
2020,e06000053,standard-area,hectares,1631.77
2020,e06000054,standard-area,hectares,325533.8
2020,e06000055,standard-area,hectares,47640.82
2020,e06000056,standard-area,hectares,71566.57
2020,e06000057,standard-area,hectares,501982.89
2020,e06000058,standard-area,hectares,16207.01
2020,e06000059,standard-area,hectares,249095.69
2020,e06000060,standard-area,hectares,156494.91
2020,e07000008,standard-area,hectares,4069.87
2020,e07000009,standard-area,hectares,65128.6
2020,e07000010,standard-area,hectares,54645.02
2020,e07000011,standard-area,hectares,90617.6
2020,e07000012,standard-area,hectares,90162.5
2020,e07000026,standard-area,hectares,124214.56
2020,e07000027,standard-area,hectares,7789.71
2020,e07000028,standard-area,hectares,103830.0
2020,e07000029,standard-area,hectares,73175.97
2020,e07000030,standard-area,hectares,214237.11
2020,e07000031,standard-area,hectares,153546.28
2020,e07000032,standard-area,hectares,26543.79
2020,e07000033,standard-area,hectares,16033.47
2020,e07000034,standard-area,hectares,6603.52
2020,e07000035,standard-area,hectares,79242.41
2020,e07000036,standard-area,hectares,10963.01
2020,e07000037,standard-area,hectares,53914.33
2020,e07000038,standard-area,hectares,27562.34
2020,e07000039,standard-area,hectares,33812.69
2020,e07000040,standard-area,hectares,81424.47
2020,e07000041,standard-area,hectares,4703.31
2020,e07000042,standard-area,hectares,91289.78
2020,e07000043,standard-area,hectares,108588.58
2020,e07000044,standard-area,hectares,88654.39
2020,e07000045,standard-area,hectares,67377.08
2020,e07000046,standard-area,hectares,98382.89
2020,e07000047,standard-area,hectares,115967.34
2020,e07000061,standard-area,hectares,4416.15
2020,e07000062,standard-area,hectares,2979.61
2020,e07000063,standard-area,hectares,29210.7
2020,e07000064,standard-area,hectares,50944.13
2020,e07000065,standard-area,hectares,83312.55
2020,e07000066,standard-area,hectares,11000.1
2020,e07000067,standard-area,hectares,61170.79
2020,e07000068,standard-area,hectares,15312.41
2020,e07000069,standard-area,hectares,4467.35
2020,e07000070,standard-area,hectares,33875.82
2020,e07000071,standard-area,hectares,32822.39
2020,e07000072,standard-area,hectares,33898.42
2020,e07000073,standard-area,hectares,3053.79
2020,e07000074,standard-area,hectares,35781.57
2020,e07000075,standard-area,hectares,16709.27
2020,e07000076,standard-area,hectares,33632.43
2020,e07000077,standard-area,hectares,64118.29
2020,e07000078,standard-area,hectares,4659.61
2020,e07000079,standard-area,hectares,116452.42
2020,e07000080,standard-area,hectares,52590.21
2020,e07000081,standard-area,hectares,4055.3
2020,e07000082,standard-area,hectares,46054.2
2020,e07000083,standard-area,hectares,41441.44
2020,e07000084,standard-area,hectares,63381.73
2020,e07000085,standard-area,hectares,51443.22
2020,e07000086,standard-area,hectares,7967.88
2020,e07000087,standard-area,hectares,7425.68
2020,e07000088,standard-area,hectares,2537.36
2020,e07000089,standard-area,hectares,21526.5
2020,e07000090,standard-area,hectares,5573.98
2020,e07000091,standard-area,hectares,75217.54
2020,e07000092,standard-area,hectares,3904.5
2020,e07000093,standard-area,hectares,62759.53
2020,e07000094,standard-area,hectares,66097.03
2020,e07000095,standard-area,hectares,5144.22
2020,e07000096,standard-area,hectares,21247.66
2020,e07000098,standard-area,hectares,10112.82
2020,e07000099,standard-area,hectares,37538.21
2020,e07000102,standard-area,hectares,8882.42
2020,e07000103,standard-area,hectares,2143.05
2020,e07000105,standard-area,hectares,58061.72
2020,e07000106,standard-area,hectares,30875.26
2020,e07000107,standard-area,hectares,7272.55
2020,e07000108,standard-area,hectares,31533.79
2020,e07000109,standard-area,hectares,9899.13
2020,e07000110,standard-area,hectares,39332.94
2020,e07000111,standard-area,hectares,36923.07
2020,e07000112,standard-area,hectares,35692.1
2020,e07000113,standard-area,hectares,37343.68
2020,e07000114,standard-area,hectares,10360.91
2020,e07000115,standard-area,hectares,24011.42
2020,e07000116,standard-area,hectares,33132.87
2020,e07000117,standard-area,hectares,11068.4
2020,e07000118,standard-area,hectares,20276.23
2020,e07000119,standard-area,hectares,16569.69
2020,e07000120,standard-area,hectares,7299.75
2020,e07000121,standard-area,hectares,56693.59
2020,e07000122,standard-area,hectares,16938.01
2020,e07000123,standard-area,hectares,14228.41
2020,e07000124,standard-area,hectares,58318.56
2020,e07000125,standard-area,hectares,13804.12
2020,e07000126,standard-area,hectares,11314.17
2020,e07000127,standard-area,hectares,34663.31
2020,e07000128,standard-area,hectares,28216.49
2020,e07000129,standard-area,hectares,13046.86
2020,e07000130,standard-area,hectares,27904.26
2020,e07000131,standard-area,hectares,59179.66
2020,e07000132,standard-area,hectares,29735.14
2020,e07000133,standard-area,hectares,48138.06
2020,e07000134,standard-area,hectares,27932.8
2020,e07000135,standard-area,hectares,2352.61
2020,e07000136,standard-area,hectares,36400.87
2020,e07000137,standard-area,hectares,176677.32
2020,e07000138,standard-area,hectares,3569.02
2020,e07000139,standard-area,hectares,92247.13
2020,e07000140,standard-area,hectares,75007.61
2020,e07000141,standard-area,hectares,94258.6
2020,e07000142,standard-area,hectares,115573.21
2020,e07000143,standard-area,hectares,130511.68
2020,e07000144,standard-area,hectares,55206.1
2020,e07000145,standard-area,hectares,17431.42
2020,e07000146,standard-area,hectares,143952.25
2020,e07000147,standard-area,hectares,96596.7
2020,e07000148,standard-area,hectares,3902.2
2020,e07000149,standard-area,hectares,90757.66
2020,e07000150,standard-area,hectares,8028.1
2020,e07000151,standard-area,hectares,66261.57
2020,e07000152,standard-area,hectares,50978.71
2020,e07000153,standard-area,hectares,23349.0
2020,e07000154,standard-area,hectares,8077.18
2020,e07000155,standard-area,hectares,63402.32
2020,e07000156,standard-area,hectares,16303.64
2020,e07000163,standard-area,hectares,117738.81
2020,e07000164,standard-area,hectares,131122.82
2020,e07000165,standard-area,hectares,130794.74
2020,e07000166,standard-area,hectares,131870.74
2020,e07000167,standard-area,hectares,150659.37
2020,e07000168,standard-area,hectares,81618.83
2020,e07000169,standard-area,hectares,59931.08
2020,e07000170,standard-area,hectares,10955.81
2020,e07000171,standard-area,hectares,63780.33
2020,e07000172,standard-area,hectares,8009.89
2020,e07000173,standard-area,hectares,11998.17
2020,e07000174,standard-area,hectares,7669.71
2020,e07000175,standard-area,hectares,65134.06
2020,e07000176,standard-area,hectares,40923.17
2020,e07000177,standard-area,hectares,58874.12
2020,e07000178,standard-area,hectares,4560.27
2020,e07000179,standard-area,hectares,67852.13
2020,e07000180,standard-area,hectares,57764.44
2020,e07000181,standard-area,hectares,71442.2
2020,e07000187,standard-area,hectares,73943.56
2020,e07000188,standard-area,hectares,56422.38
2020,e07000189,standard-area,hectares,95904.01
2020,e07000192,standard-area,hectares,7888.25
2020,e07000193,standard-area,hectares,38695.95
2020,e07000194,standard-area,hectares,33129.44
2020,e07000195,standard-area,hectares,21095.74
2020,e07000196,standard-area,hectares,40732.23
2020,e07000197,standard-area,hectares,59817.21
2020,e07000198,standard-area,hectares,57584.98
2020,e07000199,standard-area,hectares,3085.07
2020,e07000200,standard-area,hectares,59372.39
2020,e07000202,standard-area,hectares,3950.98
2020,e07000203,standard-area,hectares,87107.06
2020,e07000207,standard-area,hectares,9505.23
2020,e07000208,standard-area,hectares,3407.94
2020,e07000209,standard-area,hectares,27093.11
2020,e07000210,standard-area,hectares,25832.11
2020,e07000211,standard-area,hectares,12914.39
2020,e07000212,standard-area,hectares,7804.07
2020,e07000213,standard-area,hectares,4488.79
2020,e07000214,standard-area,hectares,9509.3
2020,e07000215,standard-area,hectares,24819.47
2020,e07000216,standard-area,hectares,34517.03
2020,e07000217,standard-area,hectares,6360.34
2020,e07000218,standard-area,hectares,28426.13
2020,e07000219,standard-area,hectares,7895.04
2020,e07000220,standard-area,hectares,35111.33
2020,e07000221,standard-area,hectares,97786.94
2020,e07000222,standard-area,hectares,28288.22
2020,e07000223,standard-area,hectares,4206.55
2020,e07000224,standard-area,hectares,22099.12
2020,e07000225,standard-area,hectares,78619.48
2020,e07000226,standard-area,hectares,4497.11
2020,e07000227,standard-area,hectares,53027.87
2020,e07000228,standard-area,hectares,33402.94
2020,e07000229,standard-area,hectares,3252.09
2020,e07000234,standard-area,hectares,21696.84
2020,e07000235,standard-area,hectares,57707.1
2020,e07000236,standard-area,hectares,5425.09
2020,e07000237,standard-area,hectares,3327.82
2020,e07000238,standard-area,hectares,66354.18
2020,e07000239,standard-area,hectares,19540.38
2020,e07000240,standard-area,hectares,16120.58
2020,e07000241,standard-area,hectares,12953.68
2020,e07000242,standard-area,hectares,47566.95
2020,e07000243,standard-area,hectares,2596.92
2020,e07000244,standard-area,hectares,126098.97
2020,e07000245,standard-area,hectares,103467.56
2020,e07000246,standard-area,hectares,118759.48
2020,e08000001,standard-area,hectares,13979.23
2020,e08000002,standard-area,hectares,9946.01
2020,e08000003,standard-area,hectares,11564.85
2020,e08000004,standard-area,hectares,14234.5
2020,e08000005,standard-area,hectares,15812.83
2020,e08000006,standard-area,hectares,9719.74
2020,e08000007,standard-area,hectares,12604.02
2020,e08000008,standard-area,hectares,10315.43
2020,e08000009,standard-area,hectares,10604.46
2020,e08000010,standard-area,hectares,18817.11
2020,e08000011,standard-area,hectares,8650.02
2020,e08000012,standard-area,hectares,11183.57
2020,e08000013,standard-area,hectares,13635.87
2020,e08000014,standard-area,hectares,15657.82
2020,e08000015,standard-area,hectares,16092.2
2020,e08000016,standard-area,hectares,32907.76
2020,e08000017,standard-area,hectares,56802.22
2020,e08000018,standard-area,hectares,28653.43
2020,e08000019,standard-area,hectares,36793.02
2020,e08000021,standard-area,hectares,11345.62
2020,e08000022,standard-area,hectares,8231.39
2020,e08000023,standard-area,hectares,6442.05
2020,e08000024,standard-area,hectares,13743.65
2020,e08000025,standard-area,hectares,26779.12
2020,e08000026,standard-area,hectares,9863.9
2020,e08000027,standard-area,hectares,9795.84
2020,e08000028,standard-area,hectares,8555.89
2020,e08000029,standard-area,hectares,17828.21
2020,e08000030,standard-area,hectares,10397.34
2020,e08000031,standard-area,hectares,6943.65
2020,e08000032,standard-area,hectares,36641.98
2020,e08000033,standard-area,hectares,36396.08
2020,e08000034,standard-area,hectares,40855.16
2020,e08000035,standard-area,hectares,55170.67
2020,e08000036,standard-area,hectares,33861.98
2020,e08000037,standard-area,hectares,14235.93
2020,e09000001,standard-area,hectares,288.98
2020,e09000002,standard-area,hectares,3610.11
2020,e09000003,standard-area,hectares,8676.67
2020,e09000004,standard-area,hectares,6057.86
2020,e09000005,standard-area,hectares,4323.64
2020,e09000006,standard-area,hectares,15013.26
2020,e09000007,standard-area,hectares,2177.85
2020,e09000008,standard-area,hectares,8648.87
2020,e09000009,standard-area,hectares,5554.24
2020,e09000010,standard-area,hectares,8082.11
2020,e09000011,standard-area,hectares,4731.11
2020,e09000012,standard-area,hectares,1904.4
2020,e09000013,standard-area,hectares,1640.34
2020,e09000014,standard-area,hectares,2960.6
2020,e09000015,standard-area,hectares,5046.44
2020,e09000016,standard-area,hectares,11234.36
2020,e09000017,standard-area,hectares,11570.42
2020,e09000018,standard-area,hectares,5596.28
2020,e09000019,standard-area,hectares,1485.79
2020,e09000020,standard-area,hectares,1212.37
2020,e09000021,standard-area,hectares,3725.93
2020,e09000022,standard-area,hectares,2680.71
2020,e09000023,standard-area,hectares,3514.61
2020,e09000024,standard-area,hectares,3762.41
2020,e09000025,standard-area,hectares,3619.6
2020,e09000026,standard-area,hectares,5639.74
2020,e09000027,standard-area,hectares,5739.26
2020,e09000028,standard-area,hectares,2887.77
2020,e09000029,standard-area,hectares,4384.79
2020,e09000030,standard-area,hectares,1977.1
2020,e09000031,standard-area,hectares,3881.02
2020,e09000032,standard-area,hectares,3426.19
2020,e09000033,standard-area,hectares,2148.26
2020,n09000001,standard-area,hectares,57116.3
2020,n09000002,standard-area,hectares,133810.86
2020,n09000003,standard-area,hectares,13771.69
2020,n09000004,standard-area,hectares,198553.46
2020,n09000005,standard-area,hectares,125124.15
2020,n09000006,standard-area,hectares,286403.19
2020,n09000007,standard-area,hectares,50578.54
2020,n09000008,standard-area,hectares,105921.35
2020,n09000009,standard-area,hectares,183134.12
2020,n09000010,standard-area,hectares,168234.08
2020,n09000011,standard-area,hectares,56647.32
2020,s12000005,standard-area,hectares,15918.51
2020,s12000006,standard-area,hectares,642583.21
2020,s12000008,standard-area,hectares,126212.79
2020,s12000010,standard-area,hectares,67924.08
2020,s12000011,standard-area,hectares,17424.95
2020,s12000013,standard-area,hectares,305580.19
2020,s12000014,standard-area,hectares,29712.75
2020,s12000017,standard-area,hectares,2565317.35
2020,s12000018,standard-area,hectares,16043.87
2020,s12000019,standard-area,hectares,35368.18
2020,s12000020,standard-area,hectares,223755.42
2020,s12000021,standard-area,hectares,88528.5
2020,s12000023,standard-area,hectares,99052.14
2020,s12000026,standard-area,hectares,473178.03
2020,s12000027,standard-area,hectares,146747.83
2020,s12000028,standard-area,hectares,122222.8
2020,s12000029,standard-area,hectares,177189.3
2020,s12000030,standard-area,hectares,218615.74
2020,s12000033,standard-area,hectares,18561.04
2020,s12000034,standard-area,hectares,631261.48
2020,s12000035,standard-area,hectares,690693.98
2020,s12000036,standard-area,hectares,26339.06
2020,s12000038,standard-area,hectares,26148.77
2020,s12000039,standard-area,hectares,15876.57
2020,s12000040,standard-area,hectares,42774.27
2020,s12000041,standard-area,hectares,218145.21
2020,s12000042,standard-area,hectares,5980.06
2020,s12000045,standard-area,hectares,17448.9
2020,s12000047,standard-area,hectares,132519.01
2020,s12000048,standard-area,hectares,528560.47
2020,s12000049,standard-area,hectares,17462.13
2020,s12000050,standard-area,hectares,47000.22
2020,w06000001,standard-area,hectares,71206.51
2020,w06000002,standard-area,hectares,253514.34
2020,w06000003,standard-area,hectares,112582.26
2020,w06000004,standard-area,hectares,83691.72
2020,w06000005,standard-area,hectares,43983.04
2020,w06000006,standard-area,hectares,50377.39
2020,w06000008,standard-area,hectares,178498.11
2020,w06000009,standard-area,hectares,161834.49
2020,w06000010,standard-area,hectares,237027.63
2020,w06000011,standard-area,hectares,37761.45
2020,w06000012,standard-area,hectares,44124.47
2020,w06000013,standard-area,hectares,25078.52
2020,w06000014,standard-area,hectares,33114.86
2020,w06000015,standard-area,hectares,14091.44
2020,w06000016,standard-area,hectares,42415.02
2020,w06000018,standard-area,hectares,27738.79
2020,w06000019,standard-area,hectares,10872.79
2020,w06000020,standard-area,hectares,12569.87
2020,w06000021,standard-area,hectares,84914.29
2020,w06000022,standard-area,hectares,19043.11
2020,w06000023,standard-area,hectares,518067.05
2020,w06000024,standard-area,hectares,11144.63
2020,e06000001,woodland-area,hectares,437.45
2020,e06000002,woodland-area,hectares,291.86
2020,e06000003,woodland-area,hectares,2987.87
2020,e06000004,woodland-area,hectares,1309.29
2020,e06000005,woodland-area,hectares,799.74
2020,e06000006,woodland-area,hectares,546.35
2020,e06000007,woodland-area,hectares,1427.33
2020,e06000008,woodland-area,hectares,1337.1
2020,e06000009,woodland-area,hectares,59.38
2020,e06000010,woodland-area,hectares,127.34
2020,e06000011,woodland-area,hectares,9445.9
2020,e06000012,woodland-area,hectares,684.81
2020,e06000013,woodland-area,hectares,4352.02
2020,e06000014,woodland-area,hectares,1330.96
2020,e06000015,woodland-area,hectares,277.94
2020,e06000016,woodland-area,hectares,247.0
2020,e06000017,woodland-area,hectares,2534.33
2020,e06000018,woodland-area,hectares,408.64
2020,e06000019,woodland-area,hectares,25479.6
2020,e06000020,woodland-area,hectares,2686.87
2020,e06000021,woodland-area,hectares,520.94
2020,e06000022,woodland-area,hectares,2888.54
2020,e06000023,woodland-area,hectares,671.73
2020,e06000024,woodland-area,hectares,4024.52
2020,e06000025,woodland-area,hectares,3035.73
2020,e06000026,woodland-area,hectares,854.27
2020,e06000027,woodland-area,hectares,574.08
2020,e06000030,woodland-area,hectares,1503.57
2020,e06000031,woodland-area,hectares,1909.98
2020,e06000032,woodland-area,hectares,127.84
2020,e06000033,woodland-area,hectares,103.5
2020,e06000034,woodland-area,hectares,803.64
2020,e06000035,woodland-area,hectares,1486.95
2020,e06000036,woodland-area,hectares,3632.88
2020,e06000037,woodland-area,hectares,11593.74
2020,e06000038,woodland-area,hectares,202.86
2020,e06000039,woodland-area,hectares,125.75
2020,e06000040,woodland-area,hectares,3095.72
2020,e06000041,woodland-area,hectares,2546.29
2020,e06000042,woodland-area,hectares,2327.75
2020,e06000043,woodland-area,hectares,484.56
2020,e06000044,woodland-area,hectares,79.43
2020,e06000045,woodland-area,hectares,373.85
2020,e06000046,woodland-area,hectares,5187.65
2020,e06000047,woodland-area,hectares,19161.71
2020,e06000049,woodland-area,hectares,7565.0
2020,e06000050,woodland-area,hectares,5733.85
2020,e06000051,woodland-area,hectares,29946.03
2020,e06000052,woodland-area,hectares,33439.92
2020,e06000053,woodland-area,hectares,54.08
2020,e06000054,woodland-area,hectares,33514.68
2020,e06000055,woodland-area,hectares,3039.02
2020,e06000056,woodland-area,hectares,6973.1
2020,e06000057,woodland-area,hectares,88720.44
2020,e06000058,woodland-area,hectares,1868.57
2020,e06000059,woodland-area,hectares,30309.88
2020,e06000060,woodland-area,hectares,19487.64
2020,e07000008,woodland-area,hectares,183.15
2020,e07000009,woodland-area,hectares,1880.92
2020,e07000010,woodland-area,hectares,290.68
2020,e07000011,woodland-area,hectares,3855.66
2020,e07000012,woodland-area,hectares,4027.15
2020,e07000026,woodland-area,hectares,8561.51
2020,e07000027,woodland-area,hectares,250.73
2020,e07000028,woodland-area,hectares,19477.84
2020,e07000029,woodland-area,hectares,7674.7
2020,e07000030,woodland-area,hectares,13267.65
2020,e07000031,woodland-area,hectares,20833.11
2020,e07000032,woodland-area,hectares,2367.98
